player_name,team,bio_stat,positions,traits,liga_25_stats,season_performance
Andrew,Gil Vicente,"189 cmHeight42Shirt23 yearsJul 1, 2001RightPreferred footBrazilCountry€2.2MMarket value",PositionPrimaryKeeperGK,Long ball accuracy34%Clean sheet66%High claim65%Sweeper60%Goals conceded43%Save percentage43%,2Clean sheets5Goals conceded0/2Saved penalties6.89Rating4Matches360Minutes played1Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves8Save percentage61.5%Goals conceded5Goals prevented0.24Clean sheets2Penalties faced2Penalty goals conceded2Penalty saves0Error led to goal0Acted as sweeper2High claim4DistributionPass accuracy75.8%Accurate long balls30Long ball accuracy46.9%DisciplineYellow cards1Red cards0
Pedro Carvalho,Estoril,"22Shirt21 yearsFeb 14, 2003RightPreferred footPortugalCountry€275KMarket value",PositionPrimaryRight-backRB,,0Goals0Assists1Started3Matches133Minutes played6.72Rating0Yellow cards0Red cards,Season performanceMinutes played: 133TotalPer 90ShootingRankGoals0Expected goals (xG)0.18Non-penalty xG0.18Shots2PassingAssists0Expected assists (xA)0.03Successful passes52Pass accuracy73.2%Accurate long balls2Long ball accuracy40.0%Chances created1PossessionSuccessful dribbles1Dribble success33.3%Touches126Touches in opposition box3Dispossessed1Fouls won2DefendingTackles won2Tackles won %66.7%Duels won7Duels won %50.0%Aerial duels won1Aerial duels won %50.0%Interceptions4Fouls committed1Recoveries5Dribbled past2DisciplineYellow cards0Red cards0
Mohamed Belloumi,Hull City,"177 cmHeight22 yearsJun 1, 2002LeftPreferred footAlgeriaCountry€4.3MMarket value",PositionPrimaryRight WingerRW,Touches29%Shot attempts59%Goals61%Chances created20%Aerial duels won90%Defensive actions86%,0Goals0Assists3Started3Matches270Minutes played6.63Rating0Yellow cards0Red cards,Season performanceMinutes played: 270TotalPer 90ShootingRankGoals0Expected goals (xG)0.25xG on target (xGOT)0.18Non-penalty xG0.25Shots7Shots on target5PassingAssists0Expected assists (xA)0.08Successful passes39Pass accuracy62.9%Chances created2PossessionSuccessful dribbles3Dribble success27.3%Touches136Touches in opposition box3Dispossessed3DefendingTackles won5Tackles won %62.5%Duels won14Duels won %40.0%Aerial duels won3Aerial duels won %50.0%Interceptions3Blocked1Fouls committed4Recoveries14Possession won final 3rd1Dribbled past3DisciplineYellow cards0Red cards0
Guilherme Schettine,Moreirense,"180 cmHeight95Shirt28 yearsOct 10, 1995RightPreferred footBrazilCountry€730KMarket value",PositionPrimaryStrikerST,Touches45%Shot attempts78%Goals13%Chances created86%Aerial duels won58%Defensive actions51%,0Goals0Assists0Started3Matches40Minutes played6.26Rating1Yellow cards0Red cards,
Kiko Bondoso,Rio Ave,"171 cmHeight19Shirt28 yearsNov 17, 1995RightPreferred footPortugalCountry€880KMarket value",PositionPrimaryRight WingerRW,,0Goals0Assists2Started3Matches137Minutes played6.62Rating0Yellow cards0Red cards,Season performanceMinutes played: 137TotalPer 90ShootingRankGoals0Expected goals (xG)0.04Non-penalty xG0.04Shots1PassingAssists0Expected assists (xA)0.04Successful passes25Pass accuracy75.8%Accurate long balls2Long ball accuracy100.0%Chances created1PossessionSuccessful dribbles1Dribble success50.0%Touches52Touches in opposition box5Dispossessed1Fouls won2DefendingTackles won4Tackles won %66.7%Duels won9Duels won %69.2%Blocked1Recoveries10Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Lawrence Ofori,Moreirense,"181 cmHeight80Shirt26 yearsJun 28, 1998RightPreferred footGhanaCountry","PositionPrimaryDefensive MidfielderOthersCentral Midfielder, Attacking MidfielderDMCMAM",Touches59%Shot attempts19%Goals53%Chances created24%Aerial duels won1%Defensive actions10%,1Goals1Assists3Started4Matches274Minutes played6.92Rating1Yellow cards0Red cards,Season performanceMinutes played: 274TotalPer 90ShootingRankGoals1Expected goals (xG)0.07xG on target (xGOT)0.29Non-penalty xG0.07Shots1Shots on target1PassingAssists1Expected assists (xA)0.35Successful passes91Pass accuracy82.0%Accurate long balls6Long ball accuracy40.0%Chances created3PossessionSuccessful dribbles2Dribble success50.0%Touches159Touches in opposition box5Dispossessed4Fouls won2DefendingTackles won4Tackles won %50.0%Duels won12Duels won %44.4%Interceptions2Fouls committed3Recoveries14Possession won final 3rd3Dribbled past5DisciplineYellow cards1Red cards0
Goncalo Borges,FC Porto,"184 cmHeight70Shirt23 yearsMar 29, 2001RightPreferred footPortugalCountry€4.5MMarket value",PositionPrimaryRight WingerRW,Touches68%Shot attempts84%Goals39%Chances created88%Aerial duels won26%Defensive actions69%,0Goals1Assists1Started4Matches108Minutes played6.44Rating0Yellow cards0Red cards,Season performanceMinutes played: 108TotalPer 90ShootingRankGoals0Expected goals (xG)0.20xG on target (xGOT)0.11Non-penalty xG0.20Shots6Shots on target1PassingAssists1Expected assists (xA)0.63Successful passes28Pass accuracy96.6%Chances created5Successful crosses4Cross accuracy33.3%PossessionSuccessful dribbles1Dribble success25.0%Touches65Touches in opposition box9Dispossessed4Fouls won1DefendingDuels won2Duels won %16.7%Blocked4Fouls committed2Recoveries3Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Gustavo Garcia,Nacional,"177 cmHeight22Shirt22 yearsJan 4, 2002RightPreferred footBrazilCountry€2MMarket value",PositionPrimaryRight-backOthersRight Wing-BackRBRWB,Touches19%Shot attempts9%Goals0%Chances created73%Aerial duels won78%Defensive actions81%,0Goals0Assists4Started4Matches360Minutes played6.92Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.09Non-penalty xG0.09Shots1PassingAssists0Expected assists (xA)0.36Successful passes99Pass accuracy83.9%Accurate long balls12Long ball accuracy57.1%Chances created4Successful crosses5Cross accuracy33.3%PossessionSuccessful dribbles5Dribble success83.3%Touches220Touches in opposition box1Dispossessed1Fouls won4DefendingTackles won10Tackles won %100.0%Duels won25Duels won %65.8%Aerial duels won7Aerial duels won %70.0%Interceptions6Fouls committed3Recoveries17Possession won final 3rd2Dribbled past5DisciplineYellow cards1Red cards0
Jonathan Panzo,Rio Ave,"185 cmHeight2Shirt23 yearsOct 25, 2000LeftPreferred footEnglandCountry€1.2MMarket value",PositionPrimaryCenter-backCB,Touches61%Shot attempts54%Goals83%Chances created76%Aerial duels won13%Defensive actions91%,0Goals0Assists1Started2Matches135Minutes played6.88Rating0Yellow cards0Red cards,Season performanceMinutes played: 135TotalPer 90ShootingRankGoals0Expected goals (xG)0.05Non-penalty xG0.05Shots1PassingAssists0Expected assists (xA)0.00Successful passes58Pass accuracy93.5%Accurate long balls3Long ball accuracy60.0%PossessionTouches86Touches in opposition box1Dispossessed0Fouls won1DefendingTackles won1Tackles won %50.0%Duels won6Duels won %66.7%Aerial duels won3Aerial duels won %100.0%Interceptions1Fouls committed1Recoveries5Dribbled past2DisciplineYellow cards0Red cards0
Rafael Barbosa,Farense,"170 cmHeight8Shirt28 yearsMar 29, 1996RightPreferred footPortugalCountry€550KMarket value",PositionPrimaryCentral MidfielderCM,Touches40%Shot attempts88%Goals62%Chances created91%Aerial duels won0%Defensive actions7%,0Goals0Assists1Started2Matches121Minutes played6.42Rating1Yellow cards0Red cards,Season performanceMinutes played: 121TotalPer 90ShootingRankGoals0Expected goals (xG)0.08Non-penalty xG0.08Shots1PassingAssists0Expected assists (xA)0.20Successful passes33Pass accuracy78.6%Accurate long balls5Long ball accuracy71.4%Chances created4Successful crosses1Cross accuracy12.5%PossessionTouches66Touches in opposition box9Dispossessed2Fouls won2DefendingTackles won1Tackles won %100.0%Duels won3Duels won %50.0%Interceptions1Blocked1Recoveries6DisciplineYellow cards1Red cards0
Gil Dias,Famalicao,"183 cmHeight23Shirt27 yearsSep 28, 1996LeftPreferred footPortugalCountry€920KMarket value",PositionPrimaryLeft MidfielderLM,Touches94%Shot attempts98%Goals0%Chances created26%Aerial duels won78%Defensive actions85%,0Goals0Assists0Started4Matches85Minutes played6.58Rating1Yellow cards0Red cards,
Nuno Moreira,Casa Pia AC,"173 cmHeight7Shirt25 yearsJun 16, 1999PortugalCountry€720KMarket value","PositionPrimaryLeft WingerOthersLeft Midfielder, Right Winger, StrikerLMRWLWST",Touches58%Shot attempts50%Goals13%Chances created69%Aerial duels won42%Defensive actions67%,0Goals0Assists3Started3Matches233Minutes played6.58Rating0Yellow cards0Red cards,Season performanceMinutes played: 233TotalPer 90ShootingRankGoals0Expected goals (xG)0.21xG on target (xGOT)0.11Non-penalty xG0.21Shots4Shots on target2PassingAssists0Expected assists (xA)0.12Successful passes58Pass accuracy77.3%Accurate long balls3Long ball accuracy60.0%Chances created4Successful crosses2Cross accuracy20.0%PossessionSuccessful dribbles3Dribble success42.9%Touches128Touches in opposition box6Dispossessed4Fouls won1DefendingTackles won6Tackles won %100.0%Duels won11Duels won %39.3%Aerial duels won1Aerial duels won %20.0%Interceptions2Fouls committed2Recoveries12Possession won final 3rd2Dribbled past3DisciplineYellow cards0Red cards0
Nigel Thomas,Nacional,"177 cmHeight11Shirt23 yearsFeb 1, 2001RightPreferred footNetherlandsCountry€750KMarket value",PositionPrimaryRight WingerOthersLeft WingerRWLW,Touches17%Shot attempts51%Goals33%Chances created45%Aerial duels won23%Defensive actions6%,1Goals0Assists3Started3Matches192Minutes played6.58Rating0Yellow cards0Red cards,Season performanceMinutes played: 192TotalPer 90ShootingRankGoals1Expected goals (xG)0.22xG on target (xGOT)0.59Non-penalty xG0.22Shots3Shots on target1PassingAssists0Expected assists (xA)0.32Successful passes19Pass accuracy65.5%Chances created3Successful crosses2Cross accuracy22.2%PossessionTouches54Touches in opposition box3Dispossessed1Fouls won1DefendingDuels won2Duels won %18.2%Interceptions1Blocked1Fouls committed2Recoveries7Possession won final 3rd2Dribbled past5DisciplineYellow cards0Red cards0
Brandon Aguilera,Rio Ave,"181 cmHeight16Shirt21 yearsJun 28, 2003LeftPreferred footCosta RicaCountry€350KMarket value","PositionPrimaryCentral MidfielderOthersAttacking Midfielder, Right WingerCMAMRW",Touches73%Shot attempts47%Goals70%Chances created86%Aerial duels won7%Defensive actions39%,0Goals0Assists0Started3Matches22Minutes played6.57Rating0Yellow cards0Red cards,
Jose Fontán,Arouca,"182 cmHeight3Shirt24 yearsFeb 11, 2000LeftPreferred footSpainCountry€820KMarket value",PositionPrimaryLeft-backOthersCenter-backCBLB,Touches33%Shot attempts26%Goals85%Chances created3%Aerial duels won85%Defensive actions98%,0Goals0Assists1Started1Matches90Minutes played6.57Rating0Yellow cards0Red cards,Season performanceMinutes played: 90TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.02Successful passes97Pass accuracy94.2%Accurate long balls6Long ball accuracy60.0%PossessionTouches113Dispossessed0DefendingDuels won2Duels won %40.0%Aerial duels won1Aerial duels won %100.0%Interceptions1Fouls committed3Recoveries2DisciplineYellow cards0Red cards0
Matheus Dias,Nacional,"189 cmHeight88Shirt22 yearsMay 9, 2002RightPreferred footBrazilCountry€2.2MMarket value",PositionPrimaryCentral MidfielderCM,Touches89%Shot attempts1%Goals0%Chances created5%Aerial duels won98%Defensive actions100%,0Goals1Assists4Started4Matches319Minutes played6.72Rating1Yellow cards0Red cards,Season performanceMinutes played: 319TotalPer 90ShootingRankGoals0Expected goals (xG)0.04Non-penalty xG0.04Shots1PassingAssists1Expected assists (xA)0.25Successful passes112Pass accuracy84.2%Accurate long balls14Long ball accuracy77.8%Chances created3PossessionSuccessful dribbles3Dribble success100.0%Touches185Touches in opposition box2Dispossessed2Fouls won3DefendingTackles won9Tackles won %64.3%Duels won22Duels won %59.5%Aerial duels won2Aerial duels won %100.0%Interceptions4Fouls committed8Recoveries17Dribbled past6DisciplineYellow cards1Red cards0
Nuno Santos,Sporting CP,"179 cmHeight11Shirt29 yearsFeb 13, 1995LeftPreferred footPortugalCountry€13MMarket value",PositionPrimaryLeft MidfielderOthersLeft Wing-BackLWBLM,Touches89%Shot attempts88%Goals78%Chances created98%Aerial duels won10%Defensive actions7%,0Goals0Assists0Started2Matches28Minutes played6.57Rating0Yellow cards0Red cards,
Yanis Begraoui,Estoril,"178 cmHeight14Shirt23 yearsJul 4, 2001BothPreferred footMoroccoCountry€950KMarket value","PositionPrimaryStrikerOthersRight Midfielder, Left Winger, Right WingerRMLWRWST",Touches93%Shot attempts52%Goals4%Chances created45%Aerial duels won12%Defensive actions53%,0Goals1Assists3Started4Matches236Minutes played6.41Rating1Yellow cards0Red cards,Season performanceMinutes played: 236TotalPer 90ShootingRankGoals0Expected goals (xG)0.09xG on target (xGOT)0.10Non-penalty xG0.09Shots3Shots on target1PassingAssists1Expected assists (xA)0.14Successful passes43Pass accuracy75.4%Accurate long balls1Long ball accuracy50.0%Chances created2PossessionSuccessful dribbles4Dribble success33.3%Touches92Touches in opposition box6Dispossessed3DefendingDuels won8Duels won %29.6%Aerial duels won2Aerial duels won %33.3%Interceptions2Fouls committed4Recoveries6Possession won final 3rd1DisciplineYellow cards1Red cards0
Alejandro Orellana,Estoril,"177 cmHeight6Shirt24 yearsAug 7, 2000RightPreferred footSpainCountry€1MMarket value",PositionPrimaryCentral MidfielderOthersDefensive MidfielderDMCM,Touches65%Shot attempts31%Goals29%Chances created37%Aerial duels won54%Defensive actions59%,0Goals0Assists4Started4Matches293Minutes played6.43Rating1Yellow cards0Red cards,Season performanceMinutes played: 293TotalPer 90ShootingRankGoals0Expected goals (xG)0.13xG on target (xGOT)0.25Non-penalty xG0.13Shots1Shots on target1PassingAssists0Expected assists (xA)0.15Successful passes103Pass accuracy85.1%Accurate long balls4Long ball accuracy44.4%Chances created4Successful crosses3Cross accuracy33.3%PossessionSuccessful dribbles2Dribble success33.3%Touches164Touches in opposition box2Dispossessed4Fouls won3DefendingTackles won1Tackles won %50.0%Duels won9Duels won %31.0%Aerial duels won2Aerial duels won %40.0%Interceptions6Fouls committed7Recoveries9Possession won final 3rd1Dribbled past2DisciplineYellow cards1Red cards0
Pastor,Farense,"176 cmHeight28Shirt24 yearsFeb 20, 2000RightPreferred footBrazilCountry€700KMarket value",PositionPrimaryRight-backRB,Touches37%Shot attempts8%Goals0%Chances created36%Aerial duels won30%Defensive actions93%,0Goals0Assists1Started2Matches102Minutes played6.38Rating0Yellow cards0Red cards,Season performanceMinutes played: 102TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.07Successful passes34Pass accuracy73.9%Accurate long balls3Long ball accuracy42.9%Chances created2Successful crosses2Cross accuracy50.0%PossessionTouches87Dispossessed0Fouls won4DefendingDuels won5Duels won %41.7%Interceptions3Fouls committed4Recoveries7Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Telmo Arcanjo,Vitoria de Guimaraes,"180 cmHeight18Shirt23 yearsJun 21, 2001LeftPreferred footCape VerdeCountry€630KMarket value",PositionPrimaryRight WingerRW,,0Goals0Assists2Started3Matches129Minutes played6.56Rating0Yellow cards0Red cards,Season performanceMinutes played: 129TotalPer 90ShootingRankGoals0Expected goals (xG)0.64xG on target (xGOT)0.40Non-penalty xG0.64Shots7Shots on target2PassingAssists0Expected assists (xA)0.17Successful passes40Pass accuracy83.3%Accurate long balls1Long ball accuracy33.3%Chances created2Successful crosses1Cross accuracy16.7%PossessionSuccessful dribbles1Dribble success33.3%Touches79Touches in opposition box9Dispossessed1Fouls won5DefendingDuels won7Duels won %46.7%Interceptions1Blocked2Fouls committed2Recoveries3Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Miguel Sousa,Casa Pia AC,"176 cmHeight14Shirt25 yearsSep 19, 1998RightPreferred footPortugalCountry€500KMarket value",PositionPrimaryCentral MidfielderCM,,0Goals0Assists3Started4Matches238Minutes played6.71Rating0Yellow cards0Red cards,Season performanceMinutes played: 238TotalPer 90ShootingRankGoals0Expected goals (xG)0.20xG on target (xGOT)0.02Non-penalty xG0.20Shots3Shots on target1PassingAssists0Expected assists (xA)0.65Successful passes79Pass accuracy73.8%Accurate long balls7Long ball accuracy63.6%Chances created6PossessionSuccessful dribbles2Dribble success33.3%Touches157Touches in opposition box7Dispossessed1Fouls won4DefendingTackles won3Tackles won %42.9%Duels won17Duels won %47.2%Aerial duels won4Aerial duels won %44.4%Interceptions1Blocked1Fouls committed7Recoveries12Possession won final 3rd2Dribbled past2DisciplineYellow cards0Red cards0
Jaume Grau,AVS Futebol SAD,"184 cmHeight15Shirt27 yearsMay 5, 1997LeftPreferred footSpainCountry€750KMarket value",PositionPrimaryCentral MidfielderOthersDefensive MidfielderDMCM,Touches30%Shot attempts23%Goals75%Chances created4%Aerial duels won85%Defensive actions94%,1Goals0Assists1Started2Matches127Minutes played6.79Rating0Yellow cards0Red cards,Season performanceMinutes played: 127TotalPer 90ShootingRankGoals1Expected goals (xG)0.07xG on target (xGOT)0.19Non-penalty xG0.07Shots2Shots on target1PassingAssists0Expected assists (xA)0.03Successful passes53Pass accuracy77.9%Accurate long balls8Long ball accuracy57.1%Chances created1PossessionTouches90Dispossessed0Fouls won1DefendingTackles won2Tackles won %66.7%Duels won5Duels won %26.3%Aerial duels won1Aerial duels won %16.7%Interceptions3Fouls committed3Recoveries7Dribbled past6DisciplineYellow cards0Red cards0
Jorge Aguirre,Gil Vicente,"183 cmHeight9Shirt24 yearsJan 5, 2000RightPreferred footSpainCountry€550KMarket value",PositionPrimaryStrikerST,,1Goals0Assists3Started4Matches219Minutes played6.36Rating0Yellow cards0Red cards,Season performanceMinutes played: 219TotalPer 90ShootingRankGoals1Expected goals (xG)0.69xG on target (xGOT)0.70Non-penalty xG0.69Shots4Shots on target1PassingAssists0Expected assists (xA)0.06Successful passes38Pass accuracy80.9%Accurate long balls5Long ball accuracy83.3%Chances created2PossessionSuccessful dribbles4Dribble success30.8%Touches90Touches in opposition box8Dispossessed5Fouls won5DefendingDuels won13Duels won %38.2%Aerial duels won3Aerial duels won %42.9%Fouls committed2Recoveries4Dribbled past2DisciplineYellow cards0Red cards0
Miguel Lopes,Estrela da Amadora,"182 cmHeight13Shirt37 yearsDec 19, 1986RightPreferred footPortugalCountry€500KMarket value",PositionPrimaryCenter-backCB,Touches43%Shot attempts34%Goals0%Chances created31%Aerial duels won35%Defensive actions89%,0Goals0Assists4Started4Matches360Minutes played6.63Rating2Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.05Non-penalty xG0.05Shots1PassingAssists0Expected assists (xA)0.02Successful passes197Pass accuracy87.2%Accurate long balls19Long ball accuracy57.6%PossessionTouches291Touches in opposition box2Dispossessed0Fouls won6DefendingTackles won4Tackles won %80.0%Duels won21Duels won %58.3%Aerial duels won10Aerial duels won %66.7%Interceptions6Fouls committed4Recoveries13Dribbled past7DisciplineYellow cards2Red cards0
Henrique Araujo,Arouca,"180 cmHeight39Shirt22 yearsJan 19, 2002RightPreferred footPortugalCountry€2.5MMarket value",PositionPrimaryStrikerST,Touches25%Shot attempts30%Goals4%Chances created38%Aerial duels won45%Defensive actions8%,1Goals0Assists3Started4Matches253Minutes played6.42Rating1Yellow cards0Red cards,Season performanceMinutes played: 253TotalPer 90ShootingRankGoals1Expected goals (xG)1.52xG on target (xGOT)1.23Non-penalty xG1.52Shots7Shots on target3PassingAssists0Expected assists (xA)0.04Successful passes26Pass accuracy74.3%Accurate long balls1Long ball accuracy50.0%Chances created1PossessionSuccessful dribbles4Dribble success66.7%Touches69Touches in opposition box20Dispossessed3Fouls won3DefendingDuels won10Duels won %34.5%Aerial duels won2Aerial duels won %14.3%Blocked1Fouls committed3Recoveries2DisciplineYellow cards1Red cards0
Jean-Baptiste Gorby,Braga,"183 cmHeight29Shirt22 yearsJul 25, 2002RightPreferred footFranceCountry€500KMarket value",PositionPrimaryCentral MidfielderCM,,0Goals0Assists0Started3Matches46Minutes played6.60Rating0Yellow cards0Red cards,
Quaresma,Arouca,"181 cmHeight6Shirt28 yearsAug 22, 1996LeftPreferred footBrazilCountry€2MMarket value",PositionPrimaryLeft-backLB,Touches5%Shot attempts98%Goals0%Chances created20%Aerial duels won16%Defensive actions14%,0Goals0Assists0Started2Matches58Minutes played6.53Rating1Yellow cards0Red cards,
Lucas Soares,Santa Clara,"174 cmHeight42Shirt26 yearsMay 4, 1998RightPreferred footBrazilCountry€660KMarket value",PositionPrimaryRight MidfielderRM,,0Goals0Assists4Started4Matches296Minutes played6.69Rating2Yellow cards0Red cards,Season performanceMinutes played: 296TotalPer 90ShootingRankGoals0Expected goals (xG)0.12xG on target (xGOT)0.09Non-penalty xG0.12Shots4Shots on target1PassingAssists0Expected assists (xA)0.37Successful passes64Pass accuracy73.6%Accurate long balls2Long ball accuracy33.3%Chances created1Successful crosses2Cross accuracy20.0%PossessionSuccessful dribbles1Dribble success50.0%Touches144Touches in opposition box4Dispossessed1Fouls won1DefendingTackles won1Tackles won %50.0%Duels won9Duels won %45.0%Aerial duels won5Aerial duels won %62.5%Interceptions2Blocked3Fouls committed4Recoveries11Dribbled past2DisciplineYellow cards2Red cards0
Leonardo Lelo,Casa Pia AC,"175 cmHeight5Shirt24 yearsMar 30, 2000LeftPreferred footPortugalCountry€4MMarket value",PositionPrimaryLeft MidfielderOthersLeft-backLBLM,Touches49%Shot attempts23%Goals24%Chances created53%Aerial duels won24%Defensive actions36%,0Goals0Assists4Started4Matches356Minutes played6.63Rating0Yellow cards0Red cards,Season performanceMinutes played: 356TotalPer 90ShootingRankGoals0Expected goals (xG)0.17xG on target (xGOT)0.70Non-penalty xG0.17Shots2Shots on target1PassingAssists0Expected assists (xA)0.41Successful passes82Pass accuracy73.9%Accurate long balls6Long ball accuracy46.2%Chances created6Successful crosses5Cross accuracy27.8%PossessionSuccessful dribbles4Dribble success66.7%Touches215Touches in opposition box5Dispossessed3Fouls won1DefendingTackles won1Tackles won %20.0%Duels won11Duels won %44.0%Aerial duels won1Aerial duels won %16.7%Fouls committed2Recoveries16Dribbled past2DisciplineYellow cards0Red cards0
Joao Goncalves,Boavista,"188 cmHeight99Shirt23 yearsNov 5, 2000RightPreferred footPortugalCountry€550KMarket value",PositionPrimaryKeeperGK,Long ball accuracy28%Clean sheet11%High claim10%Sweeper36%Goals conceded14%Save percentage26%,2Clean sheets2Goals conceded0/0Saved penalties6.74Rating4Matches360Minutes played0Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves6Save percentage75.0%Goals conceded2Goals prevented1.48Clean sheets2Error led to goal0High claim1DistributionPass accuracy43.9%Accurate long balls32Long ball accuracy34.8%DisciplineYellow cards0Red cards0
Ivo Rodrigues,Arouca,"179 cmHeight7Shirt29 yearsMar 30, 1995RightPreferred footPortugalCountry€1.3MMarket value","PositionPrimaryCentral MidfielderOthersDefensive Midfielder, Attacking MidfielderDMCMAM",Touches51%Shot attempts68%Goals51%Chances created29%Aerial duels won56%Defensive actions64%,0Goals0Assists0Started2Matches45Minutes played6.53Rating2Yellow cards0Red cards,
Wendell,FC Porto,"176 cmHeight18Shirt31 yearsJul 20, 1993LeftPreferred footBrazilCountry€8MMarket value",PositionPrimaryLeft-backLB,Touches90%Shot attempts71%Goals83%Chances created78%Aerial duels won76%Defensive actions48%,0Goals0Assists0Started1Matches22Minutes played6.51Rating0Yellow cards0Red cards,
Fran Navarro,FC Porto,"179 cmHeight21Shirt26 yearsFeb 3, 1998RightPreferred footSpainCountry€12MMarket value",PositionPrimaryStrikerST,Touches15%Shot attempts39%Goals50%Chances created29%Aerial duels won36%Defensive actions78%,0Goals0Assists1Started4Matches90Minutes played6.50Rating0Yellow cards0Red cards,Season performanceMinutes played: 90TotalPer 90ShootingRankGoals0Expected goals (xG)0.44xG on target (xGOT)0.07Non-penalty xG0.44Shots2Shots on target1PassingAssists0Expected assists (xA)0.04Successful passes13Pass accuracy92.9%PossessionTouches24Touches in opposition box8Dispossessed1Fouls won1Penalties awarded1DefendingDuels won3Duels won %42.9%Fouls committed1Recoveries1DisciplineYellow cards0Red cards0
Miguel Baeza,Nacional,"177 cmHeight19Shirt24 yearsMar 27, 2000LeftPreferred footSpainCountry€400KMarket value",PositionPrimaryCentral MidfielderCM,Touches31%Shot attempts10%Goals45%Chances created2%Aerial duels won47%Defensive actions51%,1Goals0Assists1Started3Matches153Minutes played6.50Rating0Yellow cards0Red cards,Season performanceMinutes played: 153TotalPer 90ShootingRankGoals1Expected goals (xG)0.27xG on target (xGOT)0.84Non-penalty xG0.27Shots2Shots on target1PassingAssists0Expected assists (xA)0.04Successful passes30Pass accuracy75.0%Accurate long balls1Long ball accuracy50.0%Chances created1Successful crosses2Cross accuracy28.6%PossessionSuccessful dribbles1Dribble success50.0%Touches55Touches in opposition box2Dispossessed0DefendingTackles won1Tackles won %100.0%Duels won2Duels won %25.0%Fouls committed1Recoveries3Possession won final 3rd1Dribbled past1DisciplineYellow cards0Red cards0
Angelo Neto,Farense,"181 cmHeight6Shirt33 yearsSep 2, 1991RightPreferred footBrazilCountry€300KMarket value",PositionPrimaryCentral MidfielderOthersDefensive MidfielderDMCM,Touches53%Shot attempts35%Goals30%Chances created22%Aerial duels won17%Defensive actions80%,0Goals0Assists4Started4Matches249Minutes played6.34Rating1Yellow cards0Red cards,Season performanceMinutes played: 249TotalPer 90ShootingRankGoals0Expected goals (xG)0.08Non-penalty xG0.08Shots3PassingAssists0Expected assists (xA)0.03Successful passes94Pass accuracy84.7%Accurate long balls3Long ball accuracy42.9%PossessionSuccessful dribbles2Dribble success66.7%Touches146Dispossessed1Fouls won1DefendingTackles won5Tackles won %83.3%Duels won12Duels won %40.0%Aerial duels won3Aerial duels won %75.0%Interceptions6Blocked3Fouls committed10Recoveries14Dribbled past6DisciplineYellow cards1Red cards0
Kazu,Gil Vicente,"176 cmHeight88Shirt24 yearsMar 18, 2000LeftPreferred footBrazilCountry",PositionPrimaryLeft-backLB,,0Goals0Assists1Started1Matches90Minutes played6.50Rating0Yellow cards0Red cards,Season performanceMinutes played: 90TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.02Successful passes44Pass accuracy78.6%Accurate long balls1Long ball accuracy20.0%PossessionTouches81Touches in opposition box2Dispossessed1DefendingDuels won4Duels won %50.0%Aerial duels won3Aerial duels won %60.0%Interceptions2Recoveries3DisciplineYellow cards0Red cards0
Marko Grujic,FC Porto,"191 cmHeight8Shirt28 yearsApr 13, 1996RightPreferred footSerbiaCountry€7MMarket value",PositionPrimaryCentral MidfielderOthersDefensive MidfielderDMCM,Touches87%Shot attempts12%Goals0%Chances created65%Aerial duels won100%Defensive actions99%,0Goals0Assists0Started1Matches12Minutes played6.50Rating0Yellow cards0Red cards,
Nermin Zolotic,Casa Pia AC,"188 cmHeight19Shirt31 yearsJul 7, 1993LeftPreferred footBosnia-HerzegovinaCountry€750KMarket value",PositionPrimaryCenter-backCB,Touches43%Shot attempts12%Goals47%Chances created6%Aerial duels won21%Defensive actions41%,0Goals0Assists2Started2Matches180Minutes played6.50Rating1Yellow cards0Red cards,Season performanceMinutes played: 180TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.03Successful passes113Pass accuracy86.3%Accurate long balls12Long ball accuracy60.0%PossessionSuccessful dribbles2Dribble success100.0%Touches153Dispossessed0Fouls won1DefendingTackles won2Tackles won %33.3%Duels won10Duels won %71.4%Aerial duels won1Aerial duels won %25.0%Interceptions1Fouls committed1Recoveries7DisciplineYellow cards1Red cards0
